Campaign_ID,Campaign_Name,Channel,Start_Date,End_Date,Budget,Spend,Impressions,Clicks,Conversions,Revenue,Target_Audience,A_B_Group,Region
MKT-212,Independence Day Blitz,Email,2023-01-02,2023-01-27,26600,26068,1023690,52413,4618,203070,35-44,Variant_A,Europe
MKT-213,Independence Day Blitz,Search Ads,2023-04-18,2023-05-22,19200,16704,271440,20439,2295,73665,25-34,Variant_B,Europe
MKT-214,Fresh Start January,Content Marketing,2024-06-11,2024-07-05,800,840,29837,1134,61,3948,35-44,Variant_B,Europe
MKT-215,Labor Day Deals,Social Media,2024-10-04,2024-10-27,13200,12012,432072,12833,479,18979,55+,Variant_B,Middle East & Africa
MKT-216,Fresh Start January,Social Media,2024-10-18,2024-11-17,31700,31700,822615,7239,429,79250,18-24,Variant_B,Middle East & Africa
MKT-217,Customer Appreciation,Social Media,2023-05-05,2023-05-27,44800,38976,333635,2569,60,175002,18-24,Variant_A,North America
MKT-218,Flash Sale Weekend,Display Ads,2024-04-02,2024-05-15,6800,5984,165158,413,6,14900,25-34,Variant_A,North America
MKT-219,Early Bird Deals,Email,2024-11-01,2024-12-16,17000,14620,376319,27659,2301,110381,18-24,Variant_A,Asia Pacific
MKT-220,Memorial Day Sale,Display Ads,2023-12-04,2023-12-07,2600,2704,35828,172,5,7112,18-24,Variant_B,Middle East & Africa
MKT-221,Tech Tuesday,Email,2023-10-04,2023-11-07,35800,33294,861649,24902,1522,166803,45-54,Variant_B,Latin America
MKT-222,Independence Day Blitz,Content Marketing,2023-02-28,2023-03-26,500,535,16521,646,33,2809,25-34,Variant_A,Middle East & Africa
MKT-223,Independence Day Blitz,Search Ads,2024-10-22,2024-11-27,46100,39185,889108,35298,3837,394201,25-34,Variant_A,Asia Pacific
MKT-224,End of Season Clearance,Social Media,2024-03-21,2024-04-07,12500,12375,233393,4504,237,29948,55+,Control,North America
MKT-225,Brand Awareness Q1,Social Media,2023-05-11,2023-06-25,28600,25740,334877,3717,222,77992,45-54,Variant_A,North America
MKT-226,Wellness Wednesday,Display Ads,2024-03-28,2024-05-12,9400,9212,212337,297,6,12989,55+,Variant_B,Europe
MKT-227,Product Launch Alpha,Search Ads,2023-01-04,2023-02-04,28800,29664,1133461,71521,11923,137938,45-54,Control,Asia Pacific
MKT-228,Wellness Wednesday,Search Ads,2023-09-11,2023-09-17,18000,18720,504317,34193,4520,84053,55+,Variant_A,Europe
MKT-229,New Year Kickoff,Content Marketing,2024-06-01,2024-07-10,4400,3828,50530,940,67,16958,45-54,Variant_B,North America
MKT-230,Labor Day Deals,Social Media,2023-12-01,2023-12-12,24600,23370,295163,8058,162,82262,25-34,Control,North America
MKT-231,New Year Kickoff,Content Marketing,2023-03-21,2023-04-18,40600,41818,589634,11026,617,195290,55+,Variant_A,Europe
MKT-232,Winter Warmup,Search Ads,2023-05-02,2023-06-02,45100,45100,1052183,38299,3876,507375,25-34,Variant_A,North America
MKT-233,Brand Awareness Q1,Content Marketing,2023-03-19,2023-04-19,36700,33030,994533,36698,1567,91823,35-44,Variant_A,Europe
MKT-234,Valentine's Day Special,Display Ads,2024-08-16,2024-09-11,18300,19215,447710,1388,23,39775,35-44,Variant_A,North America
MKT-235,Labor Day Deals,Content Marketing,2024-08-19,2024-09-01,43600,38804,408606,12095,901,84981,18-24,Control,North America
MKT-236,Wellness Wednesday,Search Ads,2023-02-19,2023-03-10,32300,28101,811276,28314,2305,124768,18-24,Variant_B,Asia Pacific
MKT-237,Fall Fashion Forward,Content Marketing,2024-08-14,2024-09-10,29600,28120,296385,5305,263,88578,35-44,Variant_A,North America
MKT-238,Fresh Start January,Content Marketing,2023-08-25,2023-09-02,36900,36162,994093,40360,2906,236138,35-44,Control,Latin America
MKT-239,Customer Appreciation,Content Marketing,2024-11-13,2024-12-20,38300,36768,1131351,32583,2480,233477,55+,Variant_A,Europe
MKT-240,Wellness Wednesday,Email,2023-01-14,2023-02-24,16400,15744,341487,9971,959,55891,18-24,Variant_A,Latin America
MKT-241,Fall Fashion Forward,Search Ads,2023-12-07,2023-12-17,5700,5700,107331,7449,728,29982,35-44,Variant_B,North America
MKT-242,Flash Sale Weekend,Email,2023-09-20,2023-11-03,37200,36084,666471,45986,5445,277486,45-54,Control,Europe
MKT-243,Black Friday Push,Display Ads,2023-04-04,2023-05-18,29400,27636,525913,2367,57,45876,25-34,Control,Europe
MKT-244,Cyber Monday Rush,Social Media,2024-02-09,2024-03-13,14200,13064,157421,2771,97,23254,25-34,Variant_A,Europe
MKT-245,Holiday Special,Social Media,2023-11-08,2023-12-20,27200,26112,360084,7418,391,127165,55+,Control,Middle East & Africa
MKT-246,Loyalty Program Push,Email,2023-09-27,2023-11-05,42100,39153,575549,28835,2258,269373,35-44,Variant_B,North America
MKT-247,Thanksgiving Thanks,Display Ads,2024-07-23,2024-08-13,37600,31960,1039659,3223,101,34836,25-34,Control,Asia Pacific
MKT-248,End of Season Clearance,Email,2023-06-24,2023-08-08,41800,40546,1214353,38859,3493,220976,25-34,Variant_A,Europe
MKT-249,Easter Special,Search Ads,2024-04-17,2024-05-24,22900,22442,409567,21052,2417,244618,45-54,Control,Europe
MKT-250,Thanksgiving Thanks,Email,2024-03-13,2024-04-06,24500,24255,383957,11404,1148,177304,25-34,Variant_B,North America
MKT-251,Mother's Day Campaign,Social Media,2023-04-01,2023-04-17,35200,37664,973238,6131,326,110732,25-34,Variant_A,Asia Pacific
MKT-252,Thanksgiving Thanks,Search Ads,2024-06-02,2024-07-08,8000,7360,235667,22836,2964,41952,25-34,Control,Europe
MKT-253,Father's Day Promo,Display Ads,2023-12-14,2024-01-04,6900,6348,230686,1730,17,16441,25-34,Variant_A,Asia Pacific
MKT-254,Green Monday Push,Content Marketing,2023-07-30,2023-08-28,37600,36848,396484,14829,586,148129,45-54,Control,Europe
MKT-255,Brand Awareness Q1,Email,2024-03-19,2024-04-29,27900,24273,210690,6489,531,138842,25-34,Variant_B,Europe
MKT-256,Father's Day Promo,Search Ads,2023-02-20,2023-03-21,36500,36865,1042174,36893,3900,361277,25-34,Variant_B,Europe
MKT-257,Flash Sale Weekend,Social Media,2023-03-08,2023-04-13,8900,7565,180879,3545,186,35404,25-34,Variant_B,North America
MKT-258,Memorial Day Sale,Display Ads,2023-02-18,2023-03-03,9600,8832,147318,737,24,24200,18-24,Variant_A,Asia Pacific
MKT-259,Mid-Year Mega Sale,Display Ads,2024-11-27,2024-12-31,20700,20907,775859,1164,20,36169,25-34,Variant_A,Latin America
MKT-260,Mid-Year Mega Sale,Display Ads,2024-02-09,2024-03-22,35600,33464,954728,2769,91,75294,35-44,Variant_B,Latin America
MKT-261,Holiday Special,Email,2023-07-30,2023-08-06,39100,35972,1065850,72265,6309,237055,18-24,Variant_B,Asia Pacific
MKT-262,Father's Day Promo,Search Ads,2023-03-02,2023-03-17,24000,22560,868786,48478,5124,100618,55+,Variant_B,North America
MKT-263,Winter Warmup,Email,2024-02-29,2024-03-22,18100,15385,305546,15461,1285,84310,18-24,Variant_A,Middle East & Africa
MKT-264,Fresh Start January,Display Ads,2023-03-07,2023-04-11,30500,27450,1096079,8330,249,23058,55+,Control,Middle East & Africa
MKT-265,Spring Collection,Social Media,2024-11-05,2024-11-22,41100,37401,713611,17055,749,149230,25-34,Variant_B,North America
MKT-266,Spring Collection,Content Marketing,2023-03-30,2023-04-04,6400,6656,56576,1878,142,42332,18-24,Variant_B,Latin America
MKT-267,Memorial Day Sale,Content Marketing,2024-04-03,2024-05-03,15600,13416,364379,3680,266,29381,35-44,Variant_A,Middle East & Africa
MKT-268,Valentine's Day Special,Social Media,2023-02-02,2023-03-03,9800,8918,76784,1881,76,21403,35-44,Variant_B,Europe
MKT-269,Black Friday Push,Search Ads,2023-10-28,2023-11-24,18000,15660,155191,11469,922,187137,18-24,Variant_B,North America
MKT-270,Green Monday Push,Social Media,2023-10-27,2023-11-04,12300,10947,174057,1584,94,30871,55+,Variant_A,North America
MKT-271,Spring Collection,Social Media,2024-11-05,2024-11-09,26200,28034,763085,12515,566,116902,35-44,Variant_B,Asia Pacific
MKT-272,Wellness Wednesday,Content Marketing,2023-06-23,2023-07-11,6200,6200,132866,5607,242,34410,18-24,Variant_A,North America
MKT-273,Winter Warmup,Social Media,2024-10-06,2024-11-10,27900,23994,496676,8046,264,107493,45-54,Variant_B,Asia Pacific
MKT-274,Fall Fashion Forward,Content Marketing,2024-04-24,2024-05-17,23500,22325,575315,6501,351,46436,18-24,Control,North America
MKT-275,Father's Day Promo,Social Media,2023-06-20,2023-07-29,35400,37878,1043918,24428,1351,145452,25-34,Control,North America
MKT-276,Black Friday Push,Search Ads,2024-01-31,2024-03-06,11200,10528,91804,6839,597,126125,35-44,Variant_A,North America
MKT-277,Memorial Day Sale,Content Marketing,2023-02-15,2023-03-09,12800,12928,261792,3744,221,69036,18-24,Control,Latin America
MKT-278,Mid-Year Mega Sale,Content Marketing,2023-09-06,2023-10-06,33700,30667,940864,13078,413,207002,18-24,Variant_A,North America
MKT-279,Product Launch Alpha,Email,2023-02-01,2023-02-23,25700,22873,567708,32700,3525,139754,55+,Variant_A,Europe
MKT-280,Customer Appreciation,Search Ads,2023-01-12,2023-02-18,3400,3502,101978,6761,880,23253,55+,Control,North America
MKT-281,Back to School,Content Marketing,2023-11-01,2023-11-09,17100,16245,283800,13481,979,47598,55+,Variant_A,North America
MKT-282,Product Launch Alpha,Email,2023-08-31,2023-10-07,15600,16380,612940,38677,3384,60115,25-34,Variant_B,Middle East & Africa
MKT-283,Early Bird Deals,Email,2023-06-02,2023-06-20,13700,13974,202064,7800,497,107041,25-34,Variant_B,Europe
MKT-284,Brand Awareness Q1,Social Media,2023-10-09,2023-10-16,29300,25198,387041,2748,75,86177,25-34,Variant_B,Middle East & Africa
MKT-285,New Year Kickoff,Email,2023-09-27,2023-11-03,47100,41919,1344342,60630,4390,202888,18-24,Variant_B,North America
MKT-286,End of Season Clearance,Social Media,2024-12-01,2024-12-04,10800,10044,226090,3550,209,17677,45-54,Variant_B,Europe
MKT-287,Early Bird Deals,Social Media,2024-02-18,2024-04-01,34300,35672,1263502,10866,356,122355,45-54,Control,North America
MKT-288,Labor Day Deals,Content Marketing,2024-11-03,2024-12-12,7600,6916,162872,7606,333,25728,25-34,Variant_A,North America
MKT-289,Spring Collection,Content Marketing,2023-06-01,2023-06-26,5900,6254,75548,1858,93,41964,55+,Variant_B,North America
MKT-290,Fall Fashion Forward,Content Marketing,2024-05-05,2024-06-09,20500,21935,500776,25039,1432,142139,35-44,Variant_B,North America
MKT-291,Memorial Day Sale,Content Marketing,2023-07-23,2023-08-05,42900,45045,688738,19216,801,90540,55+,Variant_B,North America
MKT-292,Summer Sale 2023,Social Media,2024-02-29,2024-04-07,9100,9464,349127,6808,170,21578,55+,Variant_A,North America
MKT-293,New Year Kickoff,Search Ads,2023-04-11,2023-05-05,42400,44520,928687,61943,4962,311195,35-44,Variant_B,Latin America
MKT-294,Customer Appreciation,Display Ads,2023-04-06,2023-04-14,6000,5400,63990,96,1,8424,45-54,Variant_B,Europe
MKT-295,Wellness Wednesday,Display Ads,2024-08-13,2024-08-30,33200,28220,1061072,1804,30,56722,18-24,Control,Asia Pacific
MKT-296,End of Season Clearance,Email,2024-01-21,2024-02-03,22700,20430,228203,12506,779,143419,55+,Variant_A,Europe
MKT-297,Father's Day Promo,Search Ads,2023-12-14,2024-01-21,32000,28160,575027,51005,5667,261325,55+,Variant_B,Latin America
MKT-298,Summer Sale 2023,Content Marketing,2023-10-12,2023-11-26,23100,21021,296817,7094,311,138949,25-34,Control,Latin America
MKT-299,Loyalty Program Push,Email,2023-02-04,2023-02-26,34200,32148,846457,64415,5746,150453,35-44,Variant_A,Asia Pacific
MKT-300,Green Monday Push,Content Marketing,2023-08-26,2023-10-03,37700,36946,1314908,31032,1921,144459,18-24,Variant_B,North America
